,Date,Location,Dead,Injured,Total,Description,State,Year
30,"December 8, 1995","New York City, New York",8,4,12,"Freddy's Fashion Mart attack: A man entered a store, setting it on fire and wounding four customers with a revolver as they fled. Police found the gunman dead of a self-inflicted gunshot wound and seven employees dead from smoke inhalation.[251]", New York,1995
31,"October 27, 1995","Fort Bragg, North Carolina",1,18,19,"1995 Fort Bragg shooting: An Army sergeant opened fire on other soldiers with a rifle, killing one person and wounding eighteen others before being subdued and disarmed.[252]", North Carolina,1995
32,"December 30, 1994","Brookline, Massachusetts",2,5,7,"Brookline clinic shootings: A man shot six people at a Planned Parenthood clinic before killing a woman at another facility. The gunman was captured in Norfolk, Virginia, the day after.", Massachusetts,1994
33,"November 7, 1994","Wickliffe, Ohio",1,3,4,Wickliffe Middle School shooting: A 37-year-old former student entered the building and shot and killed the custodian and wounded three other adults before he was arrested.[253], Ohio,1994
34,"June 20, 1994","Fairchild Air Force Base, Washington",5,22,27,Fairchild Air Force Base shooting: A former airman who had been discharged returned to the base hospital and killed four people and injured twenty-two others before being shot and killed by responding police., Washington,1994
35,"April 16, 1994","Gadsden, Alabama",3,1,4,"1994 Popeyes shooting: Two robbers entered a Popeyes restaurant and led four employees into the freezer, where they opened fire. Three employees were killed and another wounded.[254]", Alabama,1994
36,"February 13, 1994","Bucyrus, Ohio",3,3,6,1994 Bucyrus shooting: A gunman shot and killed three people and wounded three others at an apartment complex.[255], Ohio,1994
37,"December 14, 1993","Aurora, Colorado",4,1,5,"Aurora, Colorado, Chuck E. Cheese shooting: The perpetrator shot and killed four employees and injured one in revenge for being fired from the restaurant.", Colorado,1993
38,"December 7, 1993","Garden City, New York",6,19,25,Long Island Rail Road shooting: A passenger opened fire on other passengers and killed six and wounded nineteen before being subdued by three passengers and arrested., New York,1993
39,"August 6, 1993","Fayetteville, North Carolina",4,8[n 1],12,"Luigi's Restaurant shooting: A soldier entered a restaurant and shot indiscriminately, killing four people and wounding seven others before being shot and wounded by an off-duty police officer.[256]", North Carolina,1993
40,"July 24, 1993","near Mason City, Iowa",4,0,4,1993 Iowa murders: A man involved in the manufacturing of methamphetamine executed a dealer and his family after the dealer was set to testify against him.[257], Iowa,1993
41,"July 1, 1993","San Francisco, California",9,6,15,"101 California Street shooting: The perpetrator opened fire in an office building, killing eight people and wounding six others before committing suicide.", California,1993
